1,1,0.145,0.145,0.145,0.145,0.145
1,2,0.145,0.145,0.145,0.145,0.145
1,3,0.145,0.145,0.145,0.145,0.145
2,1,0.145,0.145,0.145,0.145,0.145
2,2,0.145,0.145,0.145,0.145,0.145
2,3,0.145,0.145,0.145,0.145,0.145
3,1,0.145,0.145,0.145,0.145,0.145
3,2,0.145,0.145,0.145,0.145,0.145
3,3,0.145,0.145,0.145,0.145,0.145
4,1,0.145,0.145,0.145,0.145,0.145
4,2,0.145,0.145,0.145,0.145,0.145
4,3,0.145,0.145,0.145,0.145,0.145
5,1,0.145,0.145,0.145,0.145,0.145
5,2,0.145,0.145,0.145,0.145,0.145
5,3,0.145,0.145,0.145,0.145,0.145
6,1,0.145,0.145,0.145,0.145,0.145
6,2,0.145,0.145,0.145,0.145,0.145
6,3,0.145,0.145,0.145,0.145,0.145
7,1,0.145,0.145,0.145,0.145,0.145
7,2,0.145,0.145,0.145,0.145,0.145
7,3,0.145,0.145,0.145,0.145,0.145
8,1,0.145,0.145,0.145,0.145,0.145
8,2,0.145,0.145,0.145,0.145,0.145
8,3,0.145,0.145,0.145,0.145,0.145
9,1,0.145,0.145,0.145,0.145,0.145
9,2,0.145,0.145,0.145,0.145,0.145
9,3,0.145,0.145,0.145,0.145,0.145
10,1,0.145,0.145,0.145,0.145,0.145
10,2,0.145,0.145,0.145,0.145,0.145
10,3,0.145,0.145,0.145,0.145,0.145
11,1,0.145,0.145,0.145,0.145,0.145
11,2,0.145,0.145,0.145,0.145,0.145
11,3,0.145,0.145,0.145,0.145,0.145
12,1,0.145,0.145,0.145,0.145,0.145
12,2,0.145,0.145,0.145,0.145,0.145
12,3,0.145,0.145,0.145,0.145,0.145
13,1,0.145,0.145,0.145,0.145,0.145
13,2,0.145,0.145,0.145,0.145,0.145
13,3,0.145,0.145,0.145,0.145,0.145
14,1,0.145,0.145,0.145,0.145,0.145
14,2,0.145,0.145,0.145,0.145,0.145
14,3,0.145,0.145,0.145,0.145,0.145
15,1,0.145,0.145,0.145,0.145,0.145
15,2,0.145,0.145,0.145,0.145,0.145
15,3,0.145,0.145,0.145,0.145,0.145